id;imei;imei_2;brand;model;color;descroptions;status;verifed_by;verifed_date
1;Frozen Delaware Rest;reboot Functionality Program;Graphic XSS;Jewelery;violet;../fake-data/blob/hipster.txt;VERVIED;Pizza Carolina;2022-02-02T00:37:19
2;drive;GB Krona;blue Direct Minnesota;Account;azure;../fake-data/blob/hipster.txt;STOLEN;Small;2022-02-02T00:20:18
3;Handcrafted Borders;quantifying Soft Account;Cape Avon;Assistant Account;purple;../fake-data/blob/hipster.txt;OTHERS;visualize;2022-02-02T08:47:59
4;Horizontal lavender;Account;Small encryption Loan;Tennessee Swaziland whiteboard;sky blue;../fake-data/blob/hipster.txt;FOUNDED;state;2022-02-02T02:44:47
5;withdrawal Account relationships;supply-chains Kansas;alarm Pizza Carolina;orchid;purple;../fake-data/blob/hipster.txt;FOUNDED;hack Shirt;2022-02-02T04:41:44
6;Jewelery Wooden;Dinar emulation;Operations wireless;Licensed Tuna;yellow;../fake-data/blob/hipster.txt;STOLEN;Gloves International;2022-02-01T23:29:27
7;Investor integrated;Fresh Montenegro;open-source;composite;blue;../fake-data/blob/hipster.txt;OTHERS;multi-byte;2022-02-01T21:54:11
8;Account Account Switzerland;Berkshire Fresh;Ergonomic Executive;empowering Distributed;maroon;../fake-data/blob/hipster.txt;OTHERS;Account algorithm Identity;2022-02-01T17:26:28
9;Carolina connecting;methodical;Riel Rubber;Granite protocol Frozen;orange;../fake-data/blob/hipster.txt;VERVIED;Product Route;2022-02-02T08:31:06
10;Health Account line;synthesizing Grove;Configuration Awesome;bi-directional payment;ivory;../fake-data/blob/hipster.txt;OTHERS;Shoals Tennessee;2022-02-01T13:49:01
